12964,Srihari Nelakuditi (P) ,0,520,Fall,2015,CSCE
12968,Jason Matthew Okane (P) ,0,520,Fall,2015,CSCE
12974,Ioannis M Rekleitis (P) ,2,520,Fall,2015,CSCE
12983,John R. Rose (P) ,1,520,Fall,2015,CSCE
12986,Jijun Tang (P) ,0,520,Fall,2015,CSCE
12989,Gabriel Alin Terejanu (P) ,1,520,Fall,2015,CSCE
12992,Matt Eric Thatcher (P) ,1,520,Fall,2015,CSCE
12993,Yan Tong (P) ,1,520,Fall,2015,CSCE
12994,Homayoun Valafar (P) ,0,520,Fall,2015,CSCE
12995,Chin-Tser Huang (P) ,62,520,Fall,2015,CSCE
12997,Marco Valtorta (P) ,0,520,Fall,2015,CSCE
12998,Jose M Vidal (P) ,0,520,Fall,2015,CSCE
13000,Jason Daniel Bakos (P) ,2,520,Fall,2015,CSCE
13001,Jenay Michelle Beer (P) ,2,520,Fall,2015,CSCE
13003,Duncan A. Buell (P) ,0,520,Fall,2015,CSCE
13004,Caroline Merriam Eastman (P) ,0,520,Fall,2015,CSCE
13006,Song Wang (P) ,61,520,Fall,2015,CSCE
13007,Csilla Farkas (P) ,6,520,Fall,2015,CSCE
13008,Stephen A. Fenner (P) ,0,520,Fall,2015,CSCE
13011,Gregory James Gay (P) ,0,520,Fall,2015,CSCE
13012,Chin-Tser Huang (P) ,2,520,Fall,2015,CSCE
13014,Michael N. Huhns (P) ,0,520,Fall,2015,CSCE
13016,Manton M. Matthews (P) ,0,520,Fall,2015,CSCE
13018,Duncan A. Buell (P) ,51,520,Fall,2015,CSCE
13019,Srihari Nelakuditi (P) ,1,520,Fall,2015,CSCE
13020,Jason Matthew Okane (P) ,1,520,Fall,2015,CSCE
13022,Ioannis M Rekleitis (P) ,0,520,Fall,2015,CSCE
13023,John R. Rose (P) ,1,520,Fall,2015,CSCE
13024,Marco Valtorta (P) ,49,520,Fall,2015,CSCE
13025,Jijun Tang (P) ,4,520,Fall,2015,CSCE
13026,Gabriel Alin Terejanu (P) ,3,520,Fall,2015,CSCE
13028,Matt Eric Thatcher (P) ,0,520,Fall,2015,CSCE
13031,Yan Tong (P) ,3,520,Fall,2015,CSCE
13032,Homayoun Valafar (P) ,3,520,Fall,2015,CSCE
13034,Marco Valtorta (P) ,0,520,Fall,2015,CSCE
13035,Marco Valtorta (P) ,78,520,Fall,2015,CSCE
